ring_size,rep,measurement_kind,gas,source_file,tx_hash,status
128,9,estimate,8333500,results/fig10_ringsig/vectors/L128_rep09.json,,
256,0,estimate,16621139,results/fig10_ringsig/vectors/L256_rep00.json,,
256,1,estimate,16579595,results/fig10_ringsig/vectors/L256_rep01.json,,
256,2,estimate,16625919,results/fig10_ringsig/vectors/L256_rep02.json,,
256,3,estimate,16773263,results/fig10_ringsig/vectors/L256_rep03.json,,
256,4,estimate,16639479,results/fig10_ringsig/vectors/L256_rep04.json,,
256,5,estimate,16685539,results/fig10_ringsig/vectors/L256_rep05.json,,
256,6,estimate,16648667,results/fig10_ringsig/vectors/L256_rep06.json,,
256,7,estimate,16779899,results/fig10_ringsig/vectors/L256_rep07.json,,
256,8,estimate,16660239,results/fig10_ringsig/vectors/L256_rep08.json,,
256,9,estimate,16648715,results/fig10_ringsig/vectors/L256_rep09.json,,
